proposal,variant,group_or_level,increase_rate,current_tuition,estimated_tuition,adjusted_tuition,average_income,ability_to_pay,maximum_willingness_to_pay,exceeds_ability_to_pay,intercept_initial,intercept_adjusted,income_coefficient,source_sheet
1,percentage_increase,1,0.01,204000,206040,,2346168.1875,234616.81875,204000,No,,,,Hoja1
1,percentage_increase,1,0.02,204000,208080,,2346168.1875,234616.81875,204000,No,,,,Hoja1
1,percentage_increase,1,0.03,204000,210120,,2346168.1875,234616.81875,204000,No,,,,Hoja1
1,percentage_increase,1,0.04,204000,212160,,2346168.1875,234616.81875,204000,No,,,,Hoja1
1,percentage_increase,2,0.01,245000,247450,,2077898.8,278842.8750448029,245000,No,,,,Hoja1
1,percentage_increase,2,0.02,245000,249900,,2077898.8,278842.8750448029,245000,No,,,,Hoja1
1,percentage_increase,2,0.03,245000,252350,,2077898.8,278842.8750448029,245000,No,,,,Hoja1
1,percentage_increase,2,0.04,245000,254800,,2077898.8,278842.8750448029,245000,No,,,,Hoja1
1,percentage_increase,3,0.01,268000,270680,,2629829.033333333,323068.93133960577,288000,No,,,,Hoja1
1,percentage_increase,3,0.02,268000,273360,,2629829.033333333,323068.93133960577,288000,No,,,,Hoja1
1,percentage_increase,3,0.03,268000,276040,,2629829.033333333,323068.93133960577,288000,No,,,,Hoja1
1,percentage_increase,3,0.04,268000,278720,,2629829.033333333,323068.93133960577,288000,No,,,,Hoja1
1,percentage_increase,4,0.01,330000,333300,,3672949.876344086,367294.98763440864,330000,No,,,,Hoja1
1,percentage_increase,4,0.02,330000,336600,,3672949.876344086,367294.98763440864,330000,No,,,,Hoja1
1,percentage_increase,4,0.03,330000,339900,,3672949.876344086,367294.98763440864,330000,No,,,,Hoja1
1,percentage_increase,4,0.04,330000,343200,,3672949.876344086,367294.98763440864,330000,No,,,,Hoja1
1,percentage_increase,5,0.01,393000,396930,,4983190.2,498319.02,413000,No,,,,Hoja1
1,percentage_increase,5,0.02,393000,400860,,4983190.2,498319.02,413000,No,,,,Hoja1
1,percentage_increase,5,0.03,393000,404790,,4983190.2,498319.02,413000,No,,,,Hoja1
1,percentage_increase,5,0.04,393000,408720,,4983190.2,498319.02,413000,No,,,,Hoja1
1,percentage_increase,6,0.01,476000,480760,,8558188.666666666,855818.8666666667,506000,No,,,,Hoja1
1,percentage_increase,6,0.02,476000,485520,,8558188.666666666,855818.8666666667,506000,No,,,,Hoja1
1,percentage_increase,6,0.03,476000,490280,,8558188.666666666,855818.8666666667,506000,No,,,,Hoja1
1,percentage_increase,6,0.04,476000,495040,,8558188.666666666,855818.8666666667,506000,No,,,,Hoja1
1,percentage_increase,7,0.01,318000,321180,,n.d,n.d,n.d,n.d,,,,Hoja1
1,percentage_increase,7,0.02,318000,324360,,n.d,n.d,n.d,n.d,,,,Hoja1
1,percentage_increase,7,0.03,318000,327540,,n.d,n.d,n.d,n.d,,,,Hoja1
1,percentage_increase,7,0.04,318000,330720,,n.d,n.d,n.d,n.d,,,,Hoja1
1,percentage_increase,8,0.01,342000,345420,,n.d,n.d,n.d,n.d,,,,Hoja1
1,percentage_increase,8,0.02,342000,348840,,n.d,n.d,n.d,n.d,,,,Hoja1
1,percentage_increase,8,0.03,342000,352260,,n.d,n.d,n.d,n.d,,,,Hoja1
1,percentage_increase,8,0.04,342000,355680,,n.d,n.d,n.d,n.d,,,,Hoja1
